"","r_id","collection"
"696",37949,"Hot Night Clubs"
"697",38381,"Celeb Spotting"
"698",16525451,"Pan-Asian Delicacies"
"699",36484,"Celeb Spotting"
"700",35975,"On the Outskirts"
"701",38976,"Super Seafood"
"702",38475,"Sea View"
"703",38768,"Regional Favorites"
"704",49886,"Kickass Burgers"
"705",35327,"Late Night Eats"
"706",43653,"Juices & Shakes"
"707",37242,"Veggie Friendly"
"708",32922,"Perfect Pav Bhaji"
"709",44960,"Pocket Friendly"
"710",45767,"Best Shawarmas"
"711",38534,"Rooftops"
"712",48332,"Best Cupcakes"
"713",43161,"Super Seafood"
"714",35187,"Super Seafood"
"715",38915,"European & Mediterranean"
"716",16538472,"Sunday Brunches"
"717",48454,"Pocket Friendly"
"718",48387,"Gourmet Pizza"
"719",38479,"Sunday Brunches"
"720",36475,"Healthy Eating"
"721",48756,"Sports Bars"
"722",37942,"Wine Bars"
"723",17871385,"Newly Opened"
"724",17851901,"Newly Opened"
"725",32911,"Irani Cafes"
"726",48308,"Taste of Bengal"
"727",39208,"Terrific Thalis"
"728",38933,"Hidden Gems"
"729",49667,"Late Night Eats"
"730",38826,"Taste of Bengal"
"731",48843,"Value For Money"
"732",37816,"Pan-Asian Delicacies"
"733",36497,"Sumptuous Sizzlers"
"734",47451,"Jain Food"
"735",36297,"Regional Favorites"
"736",37877,"Sports Bars"
"737",38926,"Student Faves"
"738",17856795,"Newly Opened"
"739",47107,"Value For Money"
"740",41317,"Brilliant Biryanis"
"741",38994,"Jain Food"
"742",35709,"Chatpata Chaat"
"743",34122,"Chatpata Chaat"
"744",38375,"Chatpata Chaat"
"745",38923,"Best Cupcakes"
"746",47800,"On the Outskirts"
"747",37567,"Great Cheesecakes"
"748",49176,"Jain Food"
"749",44722,"Perfect Pav Bhaji"
"750",16527698,"Best Cupcakes"
"751",16503230,"Best Shawarmas"
"752",45312,"Sunday Brunches"
"753",45765,"Juices & Shakes"
"754",37902,"Super Seafood"
"755",38515,"Veggie Friendly"
"756",49588,"Super Sushi"
"757",38779,"Brilliant Biryanis"
"758",37825,"Best Cupcakes"
"759",36350,"Value For Money"
"760",38307,"Sunday Brunches"
"761",48095,"Hidden Gems"
"762",37899,"On the Outskirts"
"763",38032,"Sumptuous Sizzlers"
"764",46089,"Legendary Restaurants"
"765",17843874,"Newly Opened"
"766",38062,"Gourmet Pizza"
"767",36942,"Beer in a Bar"
"768",39632,"Best Cupcakes"
"769",38434,"Sports Bars"
"770",38829,"Brilliant Biryanis"
"771",38466,"Super Sushi"
"772",34421,"Irani Cafes"
"773",37478,"Super Seafood"
"774",41108,"Sumptuous Sizzlers"
"775",35722,"Pan-Asian Delicacies"
"776",32861,"Perfect Pav Bhaji"
"777",17851911,"Newly Opened"
"778",45259,"Delicious Dosas"
"779",46200,"Meaty Feast"
"780",39625,"Delicious Dosas"
"781",41564,"Regional Favorites"
"782",38958,"Sunday Brunches"
"783",17759794,"Newly Opened"
"784",34137,"Sumptuous Sizzlers"
"785",48924,"Brilliant Biryanis"
"786",37098,"Terrific Thalis"
"787",38419,"All-day Dining"
"788",39153,"Sunday Brunches"
"789",38382,"Celeb Spotting"
"790",37954,"Super Seafood"
"791",37898,"On the Outskirts"
"792",39218,"Gourmet Pizza"
"793",37412,"Kebab Places"
"794",34433,"Irani Cafes"
"795",46317,"On the Outskirts"
"796",32952,"Lunchbox"
"797",38973,"Sweetshops"
"798",36949,"Hot Night Clubs"
"799",49493,"Veggie Friendly"
"800",43998,"Beer in a Bar"
"801",47133,"Terrific Thalis"
"802",43462,"Taste of Bengal"
"803",38345,"Sunday Brunches"
"804",43379,"Kebab Places"
"805",38469,"Sunday Brunches"
"806",40352,"Irani Cafes"
"807",39007,"Kebab Places"
"808",47801,"Healthy Eating"
"809",41585,"Student Faves"
"810",43057,"Irani Cafes"
"811",46653,"Delicious Dosas"
"812",39163,"Veggie Friendly"
"813",35851,"Best Shawarmas"
"814",48376,"Taste of Bengal"
"815",44896,"Sweetshops"
"816",44205,"On the Outskirts"
"817",49057,"Kebab Places"
"818",45290,"Lunchbox"
"819",42720,"Beer in a Bar"
"820",41776,"Chatpata Chaat"
"821",38384,"Healthy Eating"
"822",47190,"Live Music"
"823",48845,"Delicious Dosas"
"824",38705,"Kebab Places"
"825",45229,"Regional Favorites"
"826",37754,"Chatpata Chaat"
"827",40105,"Hot Night Clubs"
"828",37382,"Jain Food"
"829",44396,"Kebab Places"
"830",36956,"Wine Bars"
"831",44977,"Sports Bars"
"832",37438,"Home Bakers"
"833",42766,"Sweetshops"
"834",39273,"Terrific Thalis"
"835",39868,"Juices & Shakes"
"836",39233,"Terrific Thalis"
"837",34399,"Super Seafood"
"838",47352,"Home Bakers"
"839",45273,"Best Shawarmas"
"840",47472,"Veggie Friendly"
"841",41168,"Juices & Shakes"
"842",47175,"Best Cupcakes"
"843",49543,"Perfect Pav Bhaji"
"844",46300,"On the Outskirts"
"845",36909,"Pan-Asian Delicacies"
"846",34368,"Kebab Places"
